pH,Latitude,Longitude,Location,Depth_m,Altitude_m,Salinity_PSU,Temperature_C,Oxygen_mg_L,Turbidity_NTU,Nitrate_mg_L,Chlorophyll_ug_L
8.43,31.057,58.4827,South Pacific Ocean,687.5,592.2,38.2,22.89,8.61,40.34,43.67,5.86
7.87,69.5454,-20.3957,South Atlantic Ocean,1330.0,2033.4,32.67,29.73,9.85,41.17,7.81,4.46
7.59,-61.001,27.6482,North Atlantic Ocean,4637.0,1738.3,38.02,31.74,6.51,78.71,49.13,1.95
8.33,-72.7101,156.6174,Red Sea,2264.4,398.1,31.22,5.85,7.14,50.1,5.03,0.68
8.11,-35.6152,-129.3508,Indian Ocean,996.0,1246.7,32.67,29.2,3.85,87.82,37.43,4.33
8.09,-43.8858,-5.6297,Gulf of Mexico,4539.5,-310.1,39.17,3.4,8.95,4.75,11.88,9.65
7.63,34.9638,-176.9764,Indian Ocean,7295.6,74.3,33.12,2.83,7.45,94.4,34.52,1.37
8.26,-47.2201,-22.7367,Coral Sea,6311.2,323.1,39.13,22.12,8.74,78.95,23.37,0.16
7.7,22.3156,-105.4723,South Atlantic Ocean,5629.3,358.7,35.27,11.62,4.24,66.87,19.48,5.92
7.54,28.0812,-98.2467,Coral Sea,5110.5,-305.3,33.47,7.81,2.97,26.5,33.46,2.93
7.66,55.0052,-96.8179,Baltic Sea,5554.7,2872.1,34.39,25.29,1.68,98.18,24.43,1.92
8.2,18.6162,93.3777,South Atlantic Ocean,9648.7,1145.5,30.34,33.76,6.64,79.48,40.65,5.39
8.29,75.777,2.8965,Gulf of Mexico,341.7,2990.2,33.3,9.01,2.38,60.42,11.83,2.89
7.75,34.5774,-43.0502,Red Sea,5137.4,638.0,31.13,33.25,8.67,61.92,9.41,3.73
7.82,-46.3602,-179.7209,South Pacific Ocean,9645.7,1094.3,38.47,7.85,1.85,76.95,17.87,9.19
7.66,79.1759,120.8496,Gulf of Mexico,5742.6,1616.0,38.76,22.49,3.13,75.05,18.08,1.05
7.95,-55.8036,-179.9646,Bering Sea,2452.3,49.7,37.98,26.98,4.27,44.38,41.72,9.8
7.72,-56.5207,110.8238,Bay of Bengal,2593.6,2803.3,30.37,6.8,6.48,14.27,47.0,5.22
8.48,43.6116,81.8457,Bering Sea,7011.0,309.9,30.88,9.12,2.08,10.55,33.78,3.44
8.27,3.4211,-136.431,Bay of Bengal,8707.6,151.4,34.07,34.21,9.34,47.62,25.42,4.27
8.1,-61.1945,43.3394,Indian Ocean,9389.9,1.9,34.31,9.34,1.99,29.47,28.52,1.91
8.22,-69.4921,-175.9816,Norwegian Sea,5584.0,1813.0,39.66,12.92,3.6,9.16,16.27,0.52
7.67,-59.5087,-99.5045,Gulf of Mexico,9052.4,689.9,37.26,25.19,6.85,52.6,37.67,2.89
8.24,76.764,-93.2387,Indian Ocean,2793.3,1358.4,35.39,22.43,5.49,91.33,39.99,6.89
7.85,15.5664,173.1108,Caribbean Sea,6285.0,1078.3,35.65,30.24,5.87,66.23,6.27,1.41
7.97,41.2489,25.4919,Bay of Bengal,8680.0,14.2,36.86,17.19,1.41,14.53,17.22,0.3
8.39,-66.9567,-176.7635,South Pacific Ocean,10029.8,2153.7,36.71,10.08,4.89,78.17,14.37,1.79
8.44,-21.7261,-133.617,North Atlantic Ocean,8627.4,377.3,39.86,28.94,3.13,20.49,42.76,9.58
8.27,10.2506,-110.9273,Bay of Bengal,9554.8,-180.8,39.84,16.46,3.15,51.49,43.39,8.12
8.27,1.7553,115.8825,Bay of Bengal,9761.1,824.6,38.93,17.26,5.96,94.7,42.09,1.74
8.24,-22.9353,64.3328,South Pacific Ocean,2967.6,2793.4,37.15,32.01,7.96,75.14,42.89,4.19
8.13,-72.7615,-6.0781,Norwegian Sea,3557.8,740.8,35.57,12.16,1.04,82.06,41.76,2.75
7.7,32.9178,111.8926,Red Sea,8818.6,1809.3,31.03,27.02,4.37,49.79,22.2,3.93
8.09,17.6273,-9.3611,South Pacific Ocean,10232.7,2226.0,39.95,34.66,7.47,99.95,33.05,2.25
7.56,-14.3117,113.7373,Indian Ocean,8927.5,2063.0,38.05,17.17,2.95,23.0,4.7,5.1
7.53,76.8631,-101.0869,Coral Sea,2444.6,1527.7,37.69,15.17,8.49,69.68,25.72,9.95
8.34,46.0876,154.5209,Indian Ocean,10912.7,-44.1,35.66,5.75,2.07,89.21,37.27,6.12
8.04,-24.3311,164.6089,Coral Sea,6983.6,2849.7,31.2,12.39,7.46,60.77,13.51,3.65
7.52,-80.497,49.6322,Coral Sea,5263.2,2248.4,31.16,5.57,6.56,94.0,17.1,5.28
7.77,54.0702,48.2015,North Pacific Ocean,10615.8,2900.6,35.35,14.34,6.15,94.71,36.91,1.23
8.18,-10.7773,23.4931,South Atlantic Ocean,9860.3,1320.6,34.62,13.72,4.12,87.48,10.05,2.83
8.44,-4.9979,-24.2032,Norwegian Sea,6499.7,303.7,36.98,21.74,4.72,69.85,8.95,9.58
8.34,15.7235,-115.6557,Norwegian Sea,4005.9,2696.3,38.64,22.4,7.64,89.39,12.21,4.64
7.95,28.8837,-110.6228,North Pacific Ocean,5153.9,328.0,30.17,33.47,8.42,21.45,18.41,2.47
7.79,19.5552,54.881,Bay of Bengal,6056.2,-207.1,35.88,9.77,1.35,64.31,45.06,4.33
7.81,-39.3548,-11.8119,Red Sea,6666.4,-400.6,34.52,1.13,5.62,27.04,35.34,9.52
8.23,-57.9777,-98.7483,Arabian Sea,7741.8,-430.0,31.91,29.14,6.19,10.26,40.78,5.38
8.3,-84.9522,-146.8752,Gulf of Mexico,6521.1,338.1,32.98,-0.77,5.22,73.15,43.97,1.69
7.87,-87.648,165.2994,North Pacific Ocean,9582.8,247.1,39.34,1.56,1.86,24.57,19.27,6.25
8.12,69.994,67.8436,North Atlantic Ocean,1101.6,2694.6,37.35,11.33,9.03,13.54,40.7,8.83
8.25,89.0169,-111.3375,Coral Sea,10429.8,755.1,39.09,13.49,6.65,55.56,14.4,6.82
8.35,-25.6241,89.8501,Coral Sea,2128.1,-337.9,33.37,22.87,1.03,11.74,48.36,8.51
8.14,-51.656,-119.1015,Coral Sea,3087.9,2271.7,32.8,28.51,8.05,55.94,26.95,6.15
8.36,-18.1163,32.1173,Norwegian Sea,9250.4,2017.3,32.6,32.49,1.03,71.32,42.07,4.48
7.78,-71.4152,24.207,Arabian Sea,4544.6,162.3,35.23,-1.49,1.79,7.02,41.0,5.6
8.2,23.3491,-141.0144,Baltic Sea,6563.5,1058.1,36.5,6.29,6.01,67.69,46.8,6.53
7.9,-49.4979,58.9959,South Atlantic Ocean,6496.3,736.1,37.41,8.76,4.08,62.73,29.33,9.08
8.43,-32.8638,20.6213,Bay of Bengal,1451.4,2216.4,31.39,23.52,2.9,17.91,42.43,6.24
7.72,63.9808,108.7341,Indian Ocean,4411.6,1560.6,32.51,33.44,7.77,69.77,47.94,4.05
8.29,12.4376,146.9495,Gulf of Mexico,10019.4,149.7,33.58,-0.18,4.45,69.42,15.41,6.01
8.43,-65.7326,74.6197,Southern Ocean,640.0,2258.4,30.31,-0.48,8.45,45.33,3.92,5.06
8.18,-72.8058,-70.7687,Indian Ocean,7744.8,1531.3,37.18,32.32,8.54,43.63,8.38,2.96
8.29,27.7534,-62.1757,Norwegian Sea,5465.1,2409.5,31.5,26.48,4.23,42.1,17.42,0.57
8.39,-60.7212,-67.705,Southern Ocean,291.6,2579.7,33.96,24.97,8.47,15.16,16.32,2.54
7.81,-54.5754,130.9035,Norwegian Sea,5292.5,2446.9,39.61,33.97,2.84,98.12,4.9,9.33
7.62,18.3216,-6.0524,Coral Sea,4283.0,57.6,36.8,6.46,9.39,32.28,44.55,4.36
8.44,73.9037,165.0808,North Pacific Ocean,6998.2,2650.5,36.06,27.6,5.56,85.42,30.09,5.68
7.54,7.4559,55.7933,Caribbean Sea,2235.3,-34.8,30.68,6.64,1.59,34.39,42.57,4.95
7.98,-5.703,37.042,Arabian Sea,3969.5,119.8,30.71,6.95,5.52,73.65,1.66,6.68
7.82,64.5616,143.6006,Indian Ocean,6555.7,2433.5,36.42,15.64,5.49,91.88,18.36,4.25
8.05,-37.1682,32.2641,Baltic Sea,8332.5,2331.1,33.16,21.67,2.47,43.57,20.17,5.38
8.49,-83.7755,116.2231,Bering Sea,3114.4,908.8,32.97,7.72,9.06,19.73,17.69,5.59
7.55,10.3838,-0.4246,Baltic Sea,7898.4,111.6,33.36,17.49,6.13,31.0,44.09,1.74
8.27,-66.2588,35.5102,Arabian Sea,5107.3,253.6,36.44,3.09,5.72,40.1,24.1,5.92
7.52,-79.0952,-86.6826,Arabian Sea,5680.7,2909.1,31.53,32.49,9.43,28.09,22.72,1.92
7.76,-72.5328,135.4762,South Atlantic Ocean,5959.0,-256.9,39.47,24.76,2.63,58.02,49.47,3.71
8.21,-70.14,-79.9197,Caribbean Sea,1906.3,787.0,39.57,34.35,4.1,85.39,15.14,3.66
7.77,28.0188,166.8239,Norwegian Sea,3109.4,1718.4,36.99,6.9,9.32,59.18,13.55,9.8
8.11,14.8301,-41.1549,Arabian Sea,8694.8,2209.2,39.59,3.16,1.74,79.9,13.57,6.21
8.47,-32.361,-23.3041,Caribbean Sea,4796.8,1883.4,33.63,2.09,8.71,13.0,2.16,0.16
8.37,-46.2459,-2.8875,Caribbean Sea,3953.8,757.2,31.85,33.75,3.38,60.8,39.95,9.43
8.34,-89.8759,-41.9504,Red Sea,1053.2,319.9,31.82,-1.32,4.55,12.31,15.95,4.59
7.69,-61.3999,27.0245,Arabian Sea,1985.2,2171.7,35.36,-1.85,6.07,92.37,49.91,0.48
7.77,13.5924,53.9882,Arabian Sea,6027.5,985.7,31.87,24.5,2.8,96.14,3.41,2.88
8.29,10.1614,-118.0035,Gulf of Mexico,5288.2,-95.2,31.84,34.31,4.25,22.54,28.11,5.41
8.23,42.5564,119.0037,Norwegian Sea,10748.3,2915.0,38.67,19.55,6.3,65.49,32.78,7.79
7.79,-84.0632,57.99,Bay of Bengal,1987.0,2223.2,33.55,20.98,9.1,19.47,32.37,5.08
7.93,53.12,87.8306,Coral Sea,2380.9,1709.8,37.09,20.69,3.35,64.64,14.24,6.1
8.15,14.7204,158.4112,Bay of Bengal,7605.3,660.6,39.24,7.74,5.19,29.97,27.59,6.74
8.03,-40.879,111.4134,Coral Sea,4347.6,2378.4,32.81,7.65,2.94,84.45,43.49,3.34
7.96,-11.595,42.1279,South Pacific Ocean,3284.6,335.1,34.68,1.85,5.43,57.88,3.13,2.91
7.6,53.8874,-70.7079,Arabian Sea,611.7,-339.6,36.68,15.35,4.34,13.27,17.87,3.5
7.93,-2.573,34.8908,North Pacific Ocean,7140.0,842.0,31.94,4.77,9.36,40.41,26.41,9.75
8.49,37.4505,-158.4979,Gulf of Mexico,9480.1,1931.6,36.0,9.5,6.44,51.19,36.11,4.03
7.84,-16.6602,43.4974,Bering Sea,10783.9,2804.9,39.83,15.53,5.68,86.98,12.5,0.43
8.19,8.3447,-24.4724,South Atlantic Ocean,5009.7,412.9,39.73,27.59,5.0,78.29,40.62,8.84
8.01,59.9092,69.8136,Arabian Sea,6917.9,-231.8,36.55,25.56,1.71,47.51,32.25,4.8
8.29,-0.6024,-78.3495,Gulf of Mexico,2182.1,335.6,34.02,26.23,5.67,4.59,4.78,1.76
8.25,11.3617,42.9262,Red Sea,8409.6,2103.2,32.21,-1.28,2.66,11.79,32.9,1.94
8.44,-14.0103,106.9381,Southern Ocean,3449.9,1311.1,38.49,29.27,3.94,49.28,34.48,4.75
8.15,-55.6802,-142.6875,Bering Sea,9395.4,1960.1,36.66,6.36,3.95,51.16,34.21,5.82
8.45,85.223,63.9656,Southern Ocean,9243.8,2936.1,38.06,8.38,9.84,19.27,30.54,4.79
7.54,-86.2971,169.2734,Red Sea,1068.0,1274.1,38.89,24.96,4.51,16.21,37.94,3.42
7.91,-67.6431,135.3197,Bering Sea,7022.6,-188.6,39.67,18.75,9.63,18.24,20.06,1.2
8.18,38.2889,-128.0004,Indian Ocean,9199.1,2555.4,31.14,7.25,3.21,1.73,10.67,8.48
7.98,43.3238,-19.0464,Southern Ocean,5777.0,-96.2,34.22,25.48,7.95,60.7,44.5,7.68
8.43,-61.8452,-94.0047,Red Sea,7876.1,909.6,36.05,18.91,1.2,21.99,27.08,4.08
7.64,24.0874,-154.1472,Southern Ocean,2391.8,2946.7,31.13,33.14,1.6,30.9,11.34,7.99
7.98,69.28,104.4481,South Pacific Ocean,6881.2,754.2,31.06,11.04,9.51,13.59,22.79,5.62
8.36,54.0659,119.1029,Southern Ocean,6648.0,1266.5,30.02,31.4,4.96,36.47,42.8,3.19
8.26,-89.1939,55.9796,Coral Sea,2984.3,2918.0,36.53,28.76,4.54,10.83,8.42,0.97
8.29,-82.7341,-147.1664,South Atlantic Ocean,10159.9,1343.1,36.21,0.46,5.63,43.64,41.0,0.34
7.96,-6.0385,-152.2202,South Atlantic Ocean,4702.7,2801.5,34.4,2.59,3.03,42.52,6.57,2.99
7.84,-26.6206,21.1361,Southern Ocean,7759.3,636.5,32.02,3.82,7.84,97.63,37.19,7.31
8.01,-73.2118,144.7467,South Pacific Ocean,952.1,-146.3,33.08,9.43,3.75,32.34,44.92,7.58
7.7,-55.2986,-116.7289,Bay of Bengal,33.2,703.1,36.44,24.82,8.98,50.84,27.66,4.16
8.14,79.7385,47.2907,Indian Ocean,10408.3,2613.5,34.4,26.59,6.15,34.85,1.52,2.22
8.29,-23.7763,-0.2087,North Atlantic Ocean,7880.4,684.6,39.72,27.42,7.08,58.54,15.07,2.21
7.57,-50.1668,-87.4545,North Atlantic Ocean,1672.2,2276.6,36.6,33.29,5.79,73.95,5.91,5.98
8.1,-60.8457,-28.4822,Gulf of Mexico,6055.1,606.2,35.04,17.34,2.96,23.29,39.43,0.53
8.08,16.2469,-17.0204,Arabian Sea,1118.2,2978.0,30.39,5.26,4.85,90.29,37.48,9.77
7.76,-6.3939,-125.836,Caribbean Sea,8559.6,287.9,36.83,28.21,6.91,86.14,5.22,3.78
8.5,-28.5954,-116.965,Red Sea,4099.0,-421.1,35.69,7.01,3.38,81.94,6.31,5.08
8.0,-23.736,61.5985,Norwegian Sea,459.6,2301.8,36.33,13.45,9.19,20.5,6.52,6.28
8.39,-53.61,-134.1779,North Atlantic Ocean,295.0,1190.1,33.91,-1.53,2.95,38.5,17.44,2.28
7.69,44.3526,100.9794,South Pacific Ocean,2675.5,2260.6,35.25,24.35,4.07,95.13,8.02,1.94
8.25,44.7611,125.058,North Atlantic Ocean,2064.5,1495.4,39.23,28.72,1.16,0.5,23.54,1.84
7.58,-84.1554,-139.0133,South Atlantic Ocean,10953.4,1021.5,32.16,-1.45,7.76,25.39,1.5,9.82
7.57,-51.2557,159.8805,North Pacific Ocean,10476.3,1349.9,32.1,8.43,7.2,2.6,37.49,5.19
7.69,-78.9365,171.9255,North Atlantic Ocean,9680.6,1872.7,30.27,17.0,4.51,37.33,25.67,7.84
8.24,-74.2102,-160.6451,Baltic Sea,4221.3,1019.0,33.25,3.51,4.47,63.1,37.66,4.01
8.5,82.3258,-178.7572,Indian Ocean,186.2,2043.7,38.39,1.61,1.76,14.29,23.86,1.08
8.31,-8.0908,161.3054,Southern Ocean,4258.8,-9.3,32.56,18.33,3.57,87.08,3.27,5.72
7.92,-54.1031,-147.4538,Baltic Sea,8423.9,1886.1,38.42,30.14,8.26,50.32,11.56,9.99
8.14,83.79,-83.1602,Norwegian Sea,1126.1,1717.2,35.64,25.96,2.42,16.02,3.55,8.45
7.97,-4.3044,-9.221,Baltic Sea,2070.4,2529.8,31.83,12.6,2.83,79.25,7.43,6.7
7.75,33.3385,-123.0068,Bering Sea,2922.1,569.4,31.3,7.5,1.27,84.37,31.56,2.71
8.12,82.3268,-30.4453,Caribbean Sea,750.8,444.9,36.85,30.91,6.75,56.11,37.25,7.29
8.03,77.3617,153.8221,Caribbean Sea,3925.6,1886.1,32.29,26.69,2.34,89.41,4.45,4.74
8.04,83.6031,139.3908,North Atlantic Ocean,3814.5,181.2,39.29,27.93,4.03,30.52,1.28,4.58
7.56,61.099,-124.3876,Bering Sea,5118.4,2779.9,38.13,31.94,5.74,69.55,36.32,0.03
7.62,36.1488,159.9087,Red Sea,565.8,1997.0,38.2,31.1,3.87,38.72,12.03,0.49
8.0,-52.3357,75.9157,Coral Sea,2418.9,2006.6,30.49,13.6,4.76,63.03,45.27,2.68
7.86,-57.0999,169.4629,North Atlantic Ocean,5550.3,2708.7,32.42,26.53,7.22,89.71,15.97,6.29
7.93,-26.5301,-116.2601,South Atlantic Ocean,9073.7,1451.0,34.21,32.3,2.44,3.96,16.78,4.71
7.89,72.0752,-156.5732,Arabian Sea,990.0,2824.2,32.45,0.99,6.04,9.31,4.29,3.07
8.21,-45.5235,-30.5488,Coral Sea,1099.1,468.4,33.26,26.44,2.09,93.07,42.62,9.27
7.68,-52.1799,175.9983,South Pacific Ocean,844.2,757.7,31.45,22.56,2.51,12.87,34.01,4.92
8.44,13.6776,-15.9826,South Pacific Ocean,5425.9,2253.1,31.22,18.53,4.84,13.69,17.45,0.19
7.97,-48.331,52.2165,South Pacific Ocean,1994.3,1600.9,33.67,21.4,1.4,46.26,41.4,6.99
7.84,14.2912,13.575,Gulf of Mexico,4075.6,1469.0,39.14,34.13,4.82,18.11,43.11,6.49
7.52,27.2615,142.4375,Southern Ocean,4293.8,1237.1,38.8,30.43,2.67,82.96,28.42,9.98
7.86,-26.2757,132.9365,Bay of Bengal,1200.8,1662.4,35.37,34.41,5.75,69.76,3.31,9.02
8.13,-8.2195,166.1769,Gulf of Mexico,10495.3,1205.4,36.96,25.29,9.63,5.0,30.91,7.61
8.3,-5.8818,39.5937,Caribbean Sea,6788.9,2471.5,33.26,-1.64,3.91,18.53,40.56,2.77
8.23,-68.3151,22.0849,North Atlantic Ocean,8227.1,1207.4,31.45,10.71,4.98,86.87,38.75,4.91
8.07,-69.7548,-157.1375,Gulf of Mexico,7315.6,0.2,30.6,1.2,6.59,2.92,36.34,6.45
7.94,-63.2683,-68.9505,Caribbean Sea,4914.3,387.8,34.49,16.31,6.52,52.26,20.77,4.72
8.03,46.2676,-50.4906,Bay of Bengal,10432.5,2670.7,34.76,6.13,5.37,25.43,11.83,7.06
8.46,48.2172,1.3994,Caribbean Sea,3697.3,1900.5,34.29,8.03,2.81,24.31,17.95,1.39
8.47,-12.7066,-135.7175,South Pacific Ocean,10392.4,121.4,35.42,1.98,6.1,17.33,43.25,1.74
8.3,-85.1395,12.9506,Caribbean Sea,6891.9,1198.1,35.21,22.03,5.68,54.14,13.0,9.95
7.67,-87.5361,-85.1033,South Pacific Ocean,4858.5,1706.3,37.0,31.98,4.24,64.23,25.11,6.27
8.43,82.6488,169.1065,Coral Sea,7445.2,1353.7,38.54,22.77,2.64,64.85,25.6,1.36
8.15,-48.8043,-105.6677,Gulf of Mexico,9146.2,2961.2,38.71,22.34,3.13,6.66,4.88,4.3
7.98,-59.7636,-117.3425,Bay of Bengal,10188.8,1298.6,33.02,31.96,2.51,43.43,23.95,9.96
8.06,-74.7352,5.1688,Coral Sea,6766.6,2750.1,36.29,12.07,7.54,37.5,34.76,0.94
7.98,35.8891,153.2253,Red Sea,7461.4,2451.4,39.65,31.09,9.01,13.69,42.57,6.16
7.98,40.936,-140.1163,Bay of Bengal,10484.6,1592.8,35.57,23.98,5.61,8.63,5.13,7.79
7.93,82.5024,150.3736,Gulf of Mexico,5656.9,857.5,36.38,1.02,8.34,40.82,30.86,9.71
8.4,61.6862,-141.188,Red Sea,9645.7,2990.8,38.23,24.19,5.98,2.89,49.04,3.49
7.96,-85.5146,-118.0829,Caribbean Sea,5926.5,-172.3,31.29,1.48,4.08,95.24,12.89,2.78
7.72,56.4349,-122.9847,Bay of Bengal,9189.3,2450.6,31.73,24.35,2.42,35.88,38.08,3.57
7.73,84.1243,-97.0929,North Pacific Ocean,6456.8,1692.8,39.02,7.04,9.77,91.12,3.78,3.96
7.63,4.6333,90.4111,North Atlantic Ocean,2600.7,1533.4,39.45,-1.79,9.57,23.31,23.54,4.61
8.05,-60.5392,-27.0987,Caribbean Sea,2123.5,2980.5,32.43,20.03,2.36,84.71,49.57,1.48
7.82,-48.1911,112.1161,Bering Sea,3493.6,603.6,30.79,23.64,7.76,9.25,20.19,3.37
8.08,60.7731,-61.8378,North Pacific Ocean,2960.2,-395.8,38.03,32.25,8.36,17.42,35.8,3.56
8.43,83.9745,-11.0751,Coral Sea,4431.0,2121.9,32.3,-1.18,8.51,15.69,19.88,9.76
8.46,82.0745,-1.6772,Arabian Sea,7662.3,-174.0,36.67,34.59,6.8,16.33,32.95,8.0
7.81,-0.7499,-12.3846,South Atlantic Ocean,9485.1,554.3,31.43,26.31,6.97,77.99,15.2,4.58
7.72,21.0225,-36.6371,North Pacific Ocean,1768.5,2993.4,33.8,33.15,3.6,55.14,19.68,9.79
7.56,30.4161,-53.9518,Bay of Bengal,6242.3,769.2,34.87,7.55,7.8,91.13,19.6,5.28
7.77,-13.6282,124.7779,Red Sea,7278.7,1162.7,33.59,16.39,4.59,64.18,22.35,3.62
8.01,78.966,-33.3422,Arabian Sea,5942.5,574.5,36.21,18.54,7.93,50.32,23.82,0.52
8.1,57.4199,-132.6054,Caribbean Sea,730.2,2864.4,38.57,21.8,6.23,67.21,37.44,7.48
7.6,-65.791,-110.2029,Red Sea,7037.8,450.0,35.64,19.16,5.61,37.1,21.11,8.51
7.75,-66.1626,71.8132,Norwegian Sea,3587.6,1741.4,35.51,20.62,6.17,37.98,4.71,4.49
7.54,10.9333,177.6318,Coral Sea,2609.0,-247.0,34.96,34.18,8.91,2.39,31.56,9.86
8.28,6.4653,64.5023,Bay of Bengal,4889.5,-304.1,39.6,2.42,2.45,95.03,49.48,6.71
7.77,-86.613,-149.2751,Indian Ocean,7852.2,-407.4,30.2,11.01,9.03,23.28,33.43,6.6
8.07,-8.0164,8.3946,Red Sea,6030.0,2589.0,31.07,23.49,5.83,55.3,13.31,1.6
7.96,80.6735,39.6826,Arabian Sea,2782.1,-249.4,34.19,28.6,5.09,98.91,24.74,0.54
7.98,-9.8237,25.9455,Southern Ocean,1811.0,691.2,38.4,23.71,4.54,16.66,3.23,3.67
8.17,30.96,-121.5288,Coral Sea,3831.8,1204.0,39.31,23.35,8.0,19.68,30.02,6.69
7.91,36.7232,59.8028,Gulf of Mexico,373.5,884.0,39.47,28.01,1.63,40.95,44.59,2.11
7.75,-84.5242,-173.3236,South Pacific Ocean,9694.8,508.9,32.37,32.39,6.94,80.12,48.92,9.39
7.91,-39.8138,92.8073,Bay of Bengal,3207.8,2238.9,34.2,17.9,9.5,13.19,17.43,0.12
8.32,78.8521,-84.8862,Bering Sea,9752.8,2730.6,36.68,5.73,6.41,96.28,8.09,3.91
8.06,1.8405,166.9173,Arabian Sea,7915.4,2066.9,38.47,30.26,4.28,36.15,25.84,2.75
8.48,86.1938,-43.778,Gulf of Mexico,10374.8,-304.8,36.71,32.35,8.71,50.48,45.83,5.99
8.29,71.1002,-154.9512,South Atlantic Ocean,6359.4,1708.5,39.01,32.36,1.63,83.75,41.41,9.25
8.33,-39.4991,176.5942,North Pacific Ocean,8407.6,1199.6,32.13,22.85,8.42,79.91,44.76,3.13
8.28,-41.9678,48.4666,Southern Ocean,1901.6,2938.3,35.51,22.6,7.65,65.4,18.41,3.87
7.94,-26.1264,23.0339,Baltic Sea,7360.6,1702.0,34.97,3.98,1.22,40.12,24.79,8.95
8.3,1.6247,-52.0743,North Pacific Ocean,5948.8,40.1,38.57,1.74,3.99,92.6,43.98,8.65
8.13,71.4569,-16.7802,Baltic Sea,5218.2,-83.0,31.23,8.83,6.92,52.64,33.34,1.25
7.73,0.2504,-19.4898,Arabian Sea,2512.6,-5.3,35.96,5.42,1.86,67.91,47.86,7.15
7.59,51.0198,-82.6157,South Atlantic Ocean,7570.3,494.0,36.76,10.16,3.24,21.29,21.61,5.13
8.0,14.2018,-56.0273,Indian Ocean,5694.4,2230.1,31.57,13.13,6.72,23.14,24.21,9.28
8.08,-48.789,157.9444,Bering Sea,9487.0,1776.7,37.62,17.35,2.64,16.53,43.46,3.19
7.85,-14.1015,-118.4681,Southern Ocean,1020.5,1402.1,36.12,16.84,1.59,79.38,14.09,6.53
8.13,-15.7272,-2.3392,Caribbean Sea,740.2,1794.5,31.8,33.4,8.78,9.52,48.54,9.4
7.65,88.6165,145.7246,Bay of Bengal,1121.8,2287.3,39.05,30.58,3.86,34.68,37.34,4.51
8.31,8.9794,96.5884,Red Sea,3491.0,-22.3,38.48,11.41,1.94,99.19,15.24,6.88
7.9,-76.3725,178.954,South Pacific Ocean,8893.0,2066.9,30.46,30.81,2.75,67.16,21.44,8.17
8.23,13.4361,101.3192,South Pacific Ocean,6175.9,2214.1,32.08,-0.98,1.74,10.15,34.2,5.56
8.35,11.9624,-168.6076,South Atlantic Ocean,6683.8,2877.2,33.81,29.55,9.79,70.22,7.43,3.84
7.74,-3.5207,-105.2176,North Pacific Ocean,6073.9,2731.5,35.35,-0.42,2.32,74.61,46.0,4.77
8.05,-32.2866,155.1499,South Atlantic Ocean,6497.1,2674.2,35.57,6.44,4.77,88.82,6.88,5.48
